scheme	src_ref	dst_ref	note
MT	1Chr.12.10	1Chr.12.9	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.11	1Chr.12.10	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.12	1Chr.12.11	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.13	1Chr.12.12	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.14	1Chr.12.13	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.15	1Chr.12.14	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.16	1Chr.12.15	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.17	1Chr.12.16	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.18	1Chr.12.17	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.19	1Chr.12.18	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.20	1Chr.12.19	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.21	1Chr.12.20	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.22	1Chr.12.21	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.23	1Chr.12.22	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.24	1Chr.12.23	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.25	1Chr.12.24	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.26	1Chr.12.25	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.27	1Chr.12.26	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.28	1Chr.12.27	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.29	1Chr.12.28	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.30	1Chr.12.29	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.31	1Chr.12.30	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.32	1Chr.12.31	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.33	1Chr.12.32	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.34	1Chr.12.33	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.35	1Chr.12.34	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.36	1Chr.12.35	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.37	1Chr.12.36	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.38	1Chr.12.37	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.39	1Chr.12.38	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.40	1Chr.12.39	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.41	1Chr.12.40	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.5	1Chr.12.4	empirical DP alignment (merge:second), gloss-validated overlap=0.36
MT	1Chr.12.6	1Chr.12.5	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.7	1Chr.12.6	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.8	1Chr.12.7	empirical DP alignment (shift), gloss-validated
MT	1Chr.12.9	1Chr.12.8	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.27	1Chr.6.1	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.28	1Chr.6.2	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.29	1Chr.6.3	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.30	1Chr.6.4	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.31	1Chr.6.5	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.32	1Chr.6.6	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.33	1Chr.6.7	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.34	1Chr.6.8	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.35	1Chr.6.9	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.36	1Chr.6.10	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.37	1Chr.6.11	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.38	1Chr.6.12	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.39	1Chr.6.13	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.40	1Chr.6.14	empirical DP alignment (shift), gloss-validated
MT	1Chr.5.41	1Chr.6.15	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.1	1Chr.6.16	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.10	1Chr.6.25	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.11	1Chr.6.26	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.12	1Chr.6.27	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.13	1Chr.6.28	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.14	1Chr.6.29	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.15	1Chr.6.30	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.16	1Chr.6.31	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.17	1Chr.6.32	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.18	1Chr.6.33	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.19	1Chr.6.34	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.2	1Chr.6.17	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.20	1Chr.6.35	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.21	1Chr.6.36	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.22	1Chr.6.37	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.23	1Chr.6.38	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.24	1Chr.6.39	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.25	1Chr.6.40	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.26	1Chr.6.41	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.27	1Chr.6.42	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.28	1Chr.6.43	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.29	1Chr.6.44	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.3	1Chr.6.18	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.30	1Chr.6.45	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.31	1Chr.6.46	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.32	1Chr.6.47	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.33	1Chr.6.48	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.34	1Chr.6.49	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.35	1Chr.6.50	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.36	1Chr.6.51	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.37	1Chr.6.52	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.38	1Chr.6.53	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.39	1Chr.6.54	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.4	1Chr.6.19	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.40	1Chr.6.55	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.41	1Chr.6.56	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.42	1Chr.6.57	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.43	1Chr.6.58	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.44	1Chr.6.59	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.45	1Chr.6.60	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.46	1Chr.6.61	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.47	1Chr.6.62	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.48	1Chr.6.63	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.49	1Chr.6.64	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.5	1Chr.6.20	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.50	1Chr.6.65	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.51	1Chr.6.66	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.52	1Chr.6.67	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.53	1Chr.6.68	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.54	1Chr.6.69	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.55	1Chr.6.70	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.56	1Chr.6.71	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.57	1Chr.6.72	empirical DP alignment (shift), gloss-validated
MT	1Chr.6.58	1Chr.6.73	empirical DP alignment (shift), gloss-validated
